OBJECTID,REPORT_DATE,WARD,LIVES_LOST,POSITIVE_CASES,TOTAL_TESTS,LOAD_TIME
204,2021/02/11 00:00:00+00,Ward 3,52,2142,112335,2023/01/07 08:00:08+00
205,2021/02/12 00:00:00+00,Ward 3,52,2145,112639,2023/01/07 08:00:08+00
206,2021/02/13 00:00:00+00,Ward 3,52,2149,113240,2023/01/07 08:00:08+00
207,2021/02/14 00:00:00+00,Ward 3,52,2156,113489,2023/01/07 08:00:08+00
208,2021/02/15 00:00:00+00,Ward 3,53,2169,113768,2023/01/07 08:00:08+00
209,2021/02/16 00:00:00+00,Ward 3,53,2173,113768,2023/01/07 08:00:08+00
210,2021/02/17 00:00:00+00,Ward 3,53,2182,114094,2023/01/07 08:00:08+00
211,2021/02/18 00:00:00+00,Ward 3,53,2192,114690,2023/01/07 08:00:08+00
212,2021/02/19 00:00:00+00,Ward 3,53,2199,114995,2023/01/07 08:00:08+00
213,2021/02/20 00:00:00+00,Ward 3,53,2205,115386,2023/01/07 08:00:08+00
214,2021/02/21 00:00:00+00,Ward 3,53,2214,115859,2023/01/07 08:00:08+00
215,2021/02/22 00:00:00+00,Ward 3,53,2222,116200,2023/01/07 08:00:08+00
216,2021/02/23 00:00:00+00,Ward 3,53,2226,116458,2023/01/07 08:00:08+00
217,2021/02/24 00:00:00+00,Ward 3,53,2245,116786,2023/01/07 08:00:08+00
218,2021/02/25 00:00:00+00,Ward 3,53,2255,117286,2023/01/07 08:00:08+00
219,2021/02/26 00:00:00+00,Ward 3,53,2262,117885,2023/01/07 08:00:08+00
220,2021/02/27 00:00:00+00,Ward 3,53,2268,118608,2023/01/07 08:00:08+00
221,2021/02/28 00:00:00+00,Ward 3,53,2268,118855,2023/01/07 08:00:08+00
222,2021/03/01 00:00:00+00,Ward 3,53,2268,119112,2023/01/07 08:00:08+00
223,2021/03/02 00:00:00+00,Ward 3,53,2272,119126,2023/01/07 08:00:08+00
224,2021/03/03 00:00:00+00,Ward 3,53,2279,119945,2023/01/07 08:00:08+00
225,2021/03/04 00:00:00+00,Ward 3,53,2284,120708,2023/01/07 08:00:08+00
226,2021/03/05 00:00:00+00,Ward 3,53,2291,121377,2023/01/07 08:00:08+00
227,2021/03/06 00:00:00+00,Ward 3,53,2293,122058,2023/01/07 08:00:08+00
228,2021/03/07 00:00:00+00,Ward 3,53,2295,122465,2023/01/07 08:00:08+00
229,2021/03/08 00:00:00+00,Ward 3,53,2302,123146,2023/01/07 08:00:08+00
230,2021/03/09 00:00:00+00,Ward 3,53,2305,123336,2023/01/07 08:00:08+00
231,2021/03/10 00:00:00+00,Ward 3,53,2315,123894,2023/01/07 08:00:08+00
232,2021/03/11 00:00:00+00,Ward 3,53,2326,124788,2023/01/07 08:00:08+00
233,2021/03/12 00:00:00+00,Ward 3,53,2329,125418,2023/01/07 08:00:08+00
234,2021/03/13 00:00:00+00,Ward 3,53,2332,125973,2023/01/07 08:00:08+00
235,2021/03/14 00:00:00+00,Ward 3,53,2336,126174,2023/01/07 08:00:08+00
236,2021/03/15 00:00:00+00,Ward 3,53,2341,126581,2023/01/07 08:00:08+00
237,2021/03/16 00:00:00+00,Ward 3,54,2343,126775,2023/01/07 08:00:08+00
238,2021/03/17 00:00:00+00,Ward 3,54,2348,127320,2023/01/07 08:00:08+00
239,2021/03/18 00:00:00+00,Ward 3,54,2358,128104,2023/01/07 08:00:08+00
240,2021/03/19 00:00:00+00,Ward 3,54,2364,128796,2023/01/07 08:00:08+00
241,2021/03/20 00:00:00+00,Ward 3,54,2373,129465,2023/01/07 08:00:08+00
242,2021/03/21 00:00:00+00,Ward 3,54,2377,129685,2023/01/07 08:00:08+00
243,2021/03/22 00:00:00+00,Ward 3,54,2384,130118,2023/01/07 08:00:08+00
244,2021/03/23 00:00:00+00,Ward 3,54,2394,130437,2023/01/07 08:00:08+00
245,2021/03/24 00:00:00+00,Ward 3,54,2398,130676,2023/01/07 08:00:08+00
246,2021/03/25 00:00:00+00,Ward 3,54,2403,131474,2023/01/07 08:00:08+00
247,2021/03/26 00:00:00+00,Ward 3,54,2416,132172,2023/01/07 08:00:08+00
248,2021/03/27 00:00:00+00,Ward 3,54,2419,132671,2023/01/07 08:00:08+00
249,2021/03/28 00:00:00+00,Ward 3,54,2419,132872,2023/01/07 08:00:08+00
250,2021/03/29 00:00:00+00,Ward 3,54,2428,133244,2023/01/07 08:00:08+00
251,2021/03/30 00:00:00+00,Ward 3,55,2432,133540,2023/01/07 08:00:08+00
252,2021/03/31 00:00:00+00,Ward 3,55,2440,133822,2023/01/07 08:00:08+00
253,2021/04/01 00:00:00+00,Ward 3,55,2448,134802,2023/01/07 08:00:08+00
254,2021/04/02 00:00:00+00,Ward 3,55,2455,135298,2023/01/07 08:00:08+00
255,2021/04/03 00:00:00+00,Ward 3,55,2465,135714,2023/01/07 08:00:08+00
256,2021/04/04 00:00:00+00,Ward 3,56,2469,135858,2023/01/07 08:00:08+00
257,2021/04/05 00:00:00+00,Ward 3,56,2480,136494,2023/01/07 08:00:08+00
258,2021/04/06 00:00:00+00,Ward 3,56,2487,136768,2023/01/07 08:00:08+00
259,2021/04/07 00:00:00+00,Ward 3,56,2490,137398,2023/01/07 08:00:08+00
260,2021/04/08 00:00:00+00,Ward 3,56,2490,138200,2023/01/07 08:00:08+00
261,2021/04/09 00:00:00+00,Ward 3,56,2502,138722,2023/01/07 08:00:08+00
262,2021/04/10 00:00:00+00,Ward 3,56,2508,139377,2023/01/07 08:00:08+00
263,2021/04/11 00:00:00+00,Ward 3,56,2511,139620,2023/01/07 08:00:08+00
264,2021/04/12 00:00:00+00,Ward 3,56,2519,140123,2023/01/07 08:00:08+00
265,2021/04/13 00:00:00+00,Ward 3,56,2528,140651,2023/01/07 08:00:08+00
266,2021/04/14 00:00:00+00,Ward 3,56,2528,140914,2023/01/07 08:00:08+00
267,2021/04/15 00:00:00+00,Ward 3,56,2532,141531,2023/01/07 08:00:08+00
268,2021/04/16 00:00:00+00,Ward 3,56,2535,142123,2023/01/07 08:00:08+00
269,2021/04/17 00:00:00+00,Ward 3,56,2541,142567,2023/01/07 08:00:08+00
270,2021/04/18 00:00:00+00,Ward 3,56,2545,143063,2023/01/07 08:00:08+00
271,2021/04/19 00:00:00+00,Ward 3,56,2547,143376,2023/01/07 08:00:08+00
272,2021/04/20 00:00:00+00,Ward 3,56,2549,143655,2023/01/07 08:00:08+00
273,2021/04/21 00:00:00+00,Ward 3,56,2555,143967,2023/01/07 08:00:08+00
274,2021/04/22 00:00:00+00,Ward 3,56,2557,144597,2023/01/07 08:00:08+00
275,2021/04/23 00:00:00+00,Ward 3,56,2565,145297,2023/01/07 08:00:08+00
276,2021/04/24 00:00:00+00,Ward 3,56,2573,146043,2023/01/07 08:00:08+00
277,2021/04/25 00:00:00+00,Ward 3,56,2575,146213,2023/01/07 08:00:08+00
278,2021/04/26 00:00:00+00,Ward 3,56,2592,158229,2023/01/07 08:00:08+00
279,2021/04/27 00:00:00+00,Ward 3,56,2599,158964,2023/01/07 08:00:08+00
